Location Names,GUAJOYO,CERRONG,CINCON,QUINCED
Location Ids,CH1,CH4,CH2,CH3
Time,DamLevel,DamLevel,DamLevel,DamLevel
2023-06-09 06:00:00,420.24,47.77,231.96,178.85
2023-06-09 05:00:00,420.23,47.76,231.96,178.86
2023-06-09 04:00:00,420.23,47.75,231.96,178.86
2023-06-09 03:00:00,420.23,47.74,231.96,178.86
2023-06-09 02:00:00,420.23,47.73,231.96,178.86
2023-06-09 01:00:00,420.23,47.72,231.95,178.86
2023-06-09 00:00:00,420.23,47.71,231.95,178.86
2023-06-08 23:00:00,420.23,47.69,231.95,178.82
2023-06-08 22:00:00,420.22,47.70,231.95,178.79
2023-06-08 21:00:00,420.22,47.71,231.95,178.75
2023-06-08 20:00:00,420.22,47.73,231.96,178.72
2023-06-08 19:00:00,420.22,47.74,231.96,178.72
2023-06-08 18:00:00,420.22,47.75,231.97,178.74
2023-06-08 17:00:00,420.22,47.77,231.97,178.75
2023-06-08 16:00:00,420.22,47.78,231.97,178.76
2023-06-08 15:00:00,420.21,47.79,231.97,178.78
2023-06-08 14:00:00,420.21,47.80,231.97,178.81
2023-06-08 13:00:00,420.21,47.79,231.97,178.81
2023-06-08 12:00:00,420.21,47.78,231.96,178.81
2023-06-08 11:00:00,420.21,47.77,231.96,178.81
2023-06-08 10:00:00,420.21,47.76,231.96,178.80
2023-06-08 09:00:00,420.21,47.75,231.96,178.80
2023-06-08 08:00:00,420.20,47.74,231.96,178.80
2023-06-08 07:00:00,420.20,47.73,231.96,178.80
2023-06-08 06:00:00,420.20,47.71,231.96,178.79
2023-06-08 05:00:00,420.20,47.70,231.95,178.79
2023-06-08 04:00:00,420.20,47.68,231.95,178.79
2023-06-08 03:00:00,420.20,47.67,231.95,178.79
2023-06-08 02:00:00,420.19,47.65,231.95,178.78
2023-06-08 01:00:00,420.19,47.63,231.95,178.78
2023-06-08 00:00:00,420.19,47.62,231.95,178.79
2023-06-07 23:00:00,420.19,47.61,231.95,178.80
2023-06-07 22:00:00,420.19,47.62,231.95,178.78
2023-06-07 21:00:00,420.18,47.63,231.95,178.75
2023-06-07 20:00:00,420.18,47.65,231.96,178.73
2023-06-07 19:00:00,420.18,47.66,231.97,178.70
2023-06-07 18:00:00,420.18,47.66,231.97,178.69
2023-06-07 17:00:00,420.17,47.65,231.98,178.67
2023-06-07 16:00:00,420.17,47.64,231.98,178.68
2023-06-07 15:00:00,420.17,47.64,231.99,178.69
2023-06-07 14:00:00,420.17,47.63,231.99,178.70
2023-06-07 13:00:00,420.17,47.62,231.99,178.69
2023-06-07 12:00:00,420.16,47.62,231.99,178.69
2023-06-07 11:00:00,420.16,47.61,231.99,178.68
2023-06-07 10:00:00,420.16,47.62,231.99,178.68
2023-06-07 09:00:00,420.16,47.65,231.99,178.68
2023-06-07 08:00:00,420.15,47.68,231.98,178.68
2023-06-07 07:00:00,420.15,47.68,231.98,178.67
2023-06-07 06:00:00,420.15,47.68,231.98,178.67
2023-06-07 05:00:00,420.15,47.68,231.98,178.67
2023-06-07 04:00:00,420.14,47.68,231.98,178.67
2023-06-07 03:00:00,420.14,47.67,231.98,178.66
2023-06-07 02:00:00,420.14,47.66,231.98,178.66
2023-06-07 01:00:00,420.14,47.65,231.98,178.66
2023-06-07 00:00:00,420.14,47.65,231.98,178.65
2023-06-06 23:00:00,420.14,47.67,231.98,178.61
2023-06-06 22:00:00,420.14,47.71,231.98,178.56
2023-06-06 21:00:00,420.14,47.74,231.98,178.51
2023-06-06 20:00:00,420.13,47.78,231.99,178.49
2023-06-06 19:00:00,420.13,47.83,232.00,178.47
2023-06-06 18:00:00,420.13,47.88,232.00,178.45
2023-06-06 17:00:00,420.13,47.91,232.01,178.44
2023-06-06 16:00:00,420.13,47.95,232.01,178.45
2023-06-06 15:00:00,420.12,48.00,232.01,178.46
2023-06-06 14:00:00,420.12,48.04,232.01,178.47
2023-06-06 13:00:00,420.12,48.06,232.01,178.48
2023-06-06 12:00:00,420.12,48.07,232.01,178.49
2023-06-06 11:00:00,420.11,48.09,232.01,178.49
2023-06-06 10:00:00,420.11,48.10,232.01,178.50
2023-06-06 09:00:00,420.11,48.11,232.01,178.50
2023-06-06 08:00:00,420.11,48.13,232.01,178.50
2023-06-06 07:00:00,420.11,48.15,232.01,178.50
2023-06-06 06:00:00,420.10,48.17,232.01,178.49
2023-06-06 05:00:00,420.10,48.19,232.01,178.49
2023-06-06 04:00:00,420.10,48.20,232.01,178.49
2023-06-06 03:00:00,420.10,48.21,232.01,178.49
2023-06-06 02:00:00,420.10,48.21,232.01,178.49
2023-06-06 01:00:00,420.09,48.21,232.01,178.50
2023-06-06 00:00:00,420.09,48.20,232.01,178.51
2023-06-05 23:00:00,420.09,48.19,232.01,178.49
2023-06-05 22:00:00,420.09,48.18,232.01,178.48
2023-06-05 21:00:00,420.09,48.17,232.02,178.46
2023-06-05 20:00:00,420.08,48.17,232.02,178.45
2023-06-05 19:00:00,420.08,48.16,232.03,178.45
2023-06-05 18:00:00,420.08,48.14,232.04,178.45
2023-06-05 17:00:00,420.08,48.12,232.04,178.43
2023-06-05 16:00:00,420.07,48.08,232.04,178.41
2023-06-05 15:00:00,420.07,48.03,232.05,178.39
2023-06-05 14:00:00,420.07,47.98,232.06,178.36
2023-06-05 13:00:00,420.07,47.93,232.06,178.36
2023-06-05 12:00:00,420.07,47.88,232.07,178.36
2023-06-05 11:00:00,420.06,47.83,232.07,178.35
2023-06-05 10:00:00,420.06,47.78,232.06,178.35
2023-06-05 09:00:00,420.06,47.73,232.06,178.36
2023-06-05 08:00:00,420.06,47.68,232.06,178.37
2023-06-05 07:00:00,420.06,47.62,232.06,178.38
2023-06-05 06:00:00,420.06,47.56,232.06,178.39
2023-06-05 05:00:00,420.05,47.49,232.06,178.39
2023-06-05 04:00:00,420.05,47.45,232.06,178.40
2023-06-05 03:00:00,420.05,47.40,232.06,178.41
2023-06-05 02:00:00,420.05,47.36,232.06,178.42
2023-06-05 01:00:00,420.05,47.31,232.06,178.42
2023-06-05 00:00:00,420.04,47.29,232.06,178.41
2023-06-04 23:00:00,420.04,47.30,232.06,178.46
2023-06-04 22:00:00,420.04,47.33,232.07,178.51
2023-06-04 21:00:00,420.04,47.41,232.07,178.54
2023-06-04 20:00:00,420.04,47.48,232.08,178.59
2023-06-04 19:00:00,420.04,47.55,232.08,178.64
2023-06-04 18:00:00,420.03,47.61,232.09,178.70
2023-06-04 17:00:00,420.03,47.64,232.10,178.73
2023-06-04 16:00:00,420.03,47.66,232.10,178.77
2023-06-04 15:00:00,420.03,47.68,232.10,178.78
2023-06-04 14:00:00,420.03,47.69,232.10,178.77
2023-06-04 13:00:00,420.03,47.69,232.10,178.77
2023-06-04 12:00:00,420.03,47.69,232.10,178.77
2023-06-04 11:00:00,420.03,47.69,232.10,178.77
2023-06-04 10:00:00,420.03,47.69,232.10,178.76
2023-06-04 09:00:00,420.03,47.68,232.09,178.76
2023-06-04 08:00:00,420.03,47.67,232.09,178.76
2023-06-04 07:00:00,420.03,47.68,232.09,178.75
2023-06-04 06:00:00,420.03,47.67,232.09,178.70
2023-06-04 05:00:00,420.03,47.67,232.09,178.66
2023-06-04 04:00:00,420.03,47.67,232.09,178.62
2023-06-04 03:00:00,420.03,47.68,232.10,178.58
2023-06-04 02:00:00,420.03,47.68,232.11,178.54
2023-06-04 01:00:00,420.03,47.68,232.11,178.55
2023-06-04 00:00:00,420.03,47.69,232.12,178.57
2023-06-03 23:00:00,420.03,47.73,232.12,178.61
2023-06-03 22:00:00,420.03,47.78,232.12,178.64
2023-06-03 21:00:00,420.03,47.84,232.13,178.67
2023-06-03 20:00:00,420.03,47.91,232.13,178.71
2023-06-03 19:00:00,420.03,47.99,232.14,178.77
2023-06-03 18:00:00,420.03,48.05,232.14,178.82
2023-06-03 17:00:00,420.03,48.07,232.15,178.86
2023-06-03 16:00:00,420.03,48.09,232.15,178.90
2023-06-03 15:00:00,420.03,48.10,232.15,178.92
2023-06-03 14:00:00,420.02,48.10,232.15,178.94
2023-06-03 13:00:00,420.02,48.10,232.15,178.94
2023-06-03 12:00:00,420.02,48.11,232.15,178.94
2023-06-03 11:00:00,420.02,48.12,232.14,178.96
2023-06-03 10:00:00,420.02,48.13,232.14,178.97
2023-06-03 09:00:00,420.02,48.13,232.14,178.99
2023-06-03 08:00:00,420.02,48.14,232.14,179.02
2023-06-03 07:00:00,420.02,48.14,232.14,179.01
2023-06-03 06:00:00,420.02,48.15,232.13,179.00
2023-06-03 05:00:00,420.02,48.16,232.14,178.99
2023-06-03 04:00:00,420.02,48.17,232.14,178.98
2023-06-03 03:00:00,420.02,48.18,232.15,178.96
2023-06-03 02:00:00,420.02,48.20,232.15,178.94
2023-06-03 01:00:00,420.02,48.21,232.15,178.98
2023-06-03 00:00:00,420.02,48.24,232.16,179.00
2023-06-02 23:00:00,420.01,48.22,232.16,178.99
2023-06-02 22:00:00,420.01,48.21,232.16,178.97
2023-06-02 21:00:00,420.01,48.20,232.16,178.95
2023-06-02 20:00:00,420.01,48.20,232.16,178.94
2023-06-02 19:00:00,420.01,48.21,232.17,178.92
2023-06-02 18:00:00,420.01,48.23,232.17,178.89
2023-06-02 17:00:00,420.01,48.24,232.18,178.87
2023-06-02 16:00:00,420.01,48.24,232.18,178.84
2023-06-02 15:00:00,420.01,48.23,232.19,178.82
2023-06-02 14:00:00,420.01,48.22,232.19,178.81
2023-06-02 13:00:00,420.01,48.21,232.20,178.80
2023-06-02 12:00:00,420.01,48.20,232.20,178.81
