Location Names,GUAJOYO,CERRONG,CINCON,QUINCED
Location Ids,CH1,CH4,CH2,CH3
Time,Discharge,Discharge,Discharge,Discharge
2023-06-09 06:00:00, 1.78,  0.31,  0.00, 33.40
2023-06-09 05:00:00, 1.78,  0.31,  0.00, 31.39
2023-06-09 04:00:00, 1.78,  0.31,  0.00,  6.67
2023-06-09 03:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-09 02:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-09 01:00:00, 1.78,  0.31,  0.00,  6.40
2023-06-09 00:00:00, 1.78,  0.31,  0.00, 36.39
2023-06-08 23:00:00, 1.78,145.81,  2.72, 37.00
2023-06-08 22:00:00, 1.78,145.81,135.16, 41.09
2023-06-08 21:00:00, 1.78,214.91,146.41, 70.00
2023-06-08 20:00:00, 1.78,159.51,146.44, 79.31
2023-06-08 19:00:00, 1.78,149.11,146.44, 71.09
2023-06-08 18:00:00, 1.78,149.11,100.99, 48.71
2023-06-08 17:00:00, 1.78,148.71,  1.16, 55.76
2023-06-08 16:00:00, 1.78,148.71,  0.00, 74.46
2023-06-08 15:00:00, 1.78,125.31,  0.00, 81.73
2023-06-08 14:00:00, 1.78,  0.31,  0.00, 15.95
2023-06-08 13:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 12:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 11:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 10:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 09:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 08:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 07:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 06:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 05:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 04:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 03:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 02:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-08 01:00:00, 1.78,  0.31,  0.00, 23.65
2023-06-08 00:00:00, 1.78, 24.81,  0.00, 66.97
2023-06-07 23:00:00, 1.78,169.51,  0.00, 67.40
2023-06-07 22:00:00, 1.78,184.31,  3.83, 70.09
2023-06-07 21:00:00, 1.78,149.51,133.55, 69.05
2023-06-07 20:00:00, 1.78,149.51,146.35, 78.21
2023-06-07 19:00:00, 1.78, 60.91,146.25, 73.66
2023-06-07 18:00:00, 1.78,  0.31,146.34, 40.00
2023-06-07 17:00:00, 1.78,  0.31,100.69, 35.60
2023-06-07 16:00:00, 1.78,  0.31, 97.29, 32.60
2023-06-07 15:00:00, 1.78,  0.31,  0.00, 26.57
2023-06-07 14:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 13:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 12:00:00, 1.78,  0.31, 13.59,  0.02
2023-06-07 11:00:00, 1.78,162.41,  0.00,  0.02
2023-06-07 10:00:00, 1.78,306.11,  0.00,  0.02
2023-06-07 09:00:00, 1.78,270.01,  0.00,  0.02
2023-06-07 08:00:00, 1.78, 45.11,  0.00,  0.02
2023-06-07 07:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 06:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 05:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 04:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 03:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 02:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-07 01:00:00, 1.78, 36.71,  0.00,  0.02
2023-06-07 00:00:00, 1.78,235.21,  0.00,  0.02
2023-06-06 23:00:00, 1.78,394.21, 10.90,  0.02
2023-06-06 22:00:00, 1.78,404.71,134.58, 16.21
2023-06-06 21:00:00, 1.78,404.71,147.00, 77.03
2023-06-06 20:00:00, 1.78,527.91,147.01, 60.63
2023-06-06 19:00:00, 1.78,512.31,142.82, 32.97
2023-06-06 18:00:00, 1.78,366.31,118.31, 29.29
2023-06-06 17:00:00, 1.78,437.61, 98.40, 30.03
2023-06-06 16:00:00, 1.78,498.41, 29.36, 37.36
2023-06-06 15:00:00, 1.78,359.91,  0.00, 40.86
2023-06-06 14:00:00, 1.78,255.51,  0.00, 34.76
2023-06-06 13:00:00, 1.78,182.01,  0.00, 25.66
2023-06-06 12:00:00, 1.78,228.01,  0.00, 29.45
2023-06-06 11:00:00, 1.78,197.31,  0.00, 29.87
2023-06-06 10:00:00, 1.78,234.91,  0.00,  6.27
2023-06-06 09:00:00, 1.78,284.61,  0.00,  6.12
2023-06-06 08:00:00, 1.78,291.61,  0.00,  0.02
2023-06-06 07:00:00, 1.78,317.01,  0.00,  0.02
2023-06-06 06:00:00, 1.78,317.01,  0.00,  0.02
2023-06-06 05:00:00, 1.78,287.41,  0.00,  0.02
2023-06-06 04:00:00, 1.78,251.51,  0.00,  0.02
2023-06-06 03:00:00, 1.78,248.01,  0.00, 25.63
2023-06-06 02:00:00, 1.78,215.71,  0.00, 30.27
2023-06-06 01:00:00, 1.78,205.51,  0.00, 28.24
2023-06-06 00:00:00, 1.78,143.91,  0.00, 80.40
2023-06-05 23:00:00, 1.78,147.21,  0.00,112.65
2023-06-05 22:00:00, 1.78,143.91,117.27,105.02
2023-06-05 21:00:00, 1.78,198.81,148.79,103.51
2023-06-05 20:00:00, 1.78,208.91,148.00,106.79
2023-06-05 19:00:00, 1.78,174.81,120.80,110.31
2023-06-05 18:00:00, 1.78,143.91, 99.50, 96.65
2023-06-05 17:00:00, 1.78,  0.31,103.40,102.78
2023-06-05 16:00:00, 1.78,  0.31,149.33, 70.94
2023-06-05 15:00:00, 1.78,  0.31,149.25,  0.02
2023-06-05 14:00:00, 1.78,  0.31,127.46,  0.02
2023-06-05 13:00:00, 1.78,  0.31, 89.10,  0.02
2023-06-05 12:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-05 11:00:00, 1.78,  0.31,  0.00,  7.46
2023-06-05 10:00:00, 1.78,  0.31,  0.00, 41.44
2023-06-05 09:00:00, 1.78,  0.31,  0.00, 27.95
2023-06-05 08:00:00, 1.78,  0.31,  0.00, 32.74
2023-06-05 07:00:00, 1.78,  0.31,  0.00, 32.94
2023-06-05 06:00:00, 1.78,  0.31,  0.00, 33.54
2023-06-05 05:00:00, 1.78,  0.31,  0.00, 33.00
2023-06-05 04:00:00, 1.78,  0.31,  0.00, 35.73
2023-06-05 03:00:00, 1.78,  0.31,  0.00, 37.77
2023-06-05 02:00:00, 1.78,  0.31,  0.00, 62.08
2023-06-05 01:00:00, 1.78, 60.11,  0.00,125.22
2023-06-05 00:00:00, 1.78,250.11, 47.13,310.97
2023-06-04 23:00:00, 1.78,341.01,150.55,311.63
2023-06-04 22:00:00, 1.78,620.51,150.52,258.15
2023-06-04 21:00:00, 1.78,651.61,150.48,303.93
2023-06-04 20:00:00, 1.78,648.01,150.34,330.87
2023-06-04 19:00:00, 1.78,467.91,150.43,310.20
2023-06-04 18:00:00, 1.78,351.51,150.25,196.66
2023-06-04 17:00:00, 1.78,206.41,106.66,120.52
2023-06-04 16:00:00, 1.78,149.11, 91.11, 29.64
2023-06-04 15:00:00, 1.78, 76.41,  0.00,  0.02
2023-06-04 14:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 13:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 12:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 11:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 10:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 09:00:00, 1.78,  0.31,  0.00,  0.02
2023-06-04 08:00:00, 1.78,115.81,  0.00,  0.02
2023-06-04 07:00:00, 1.78,211.51,  0.00,  0.02
2023-06-04 06:00:00, 1.78,290.91, 20.64, 24.01
2023-06-04 05:00:00, 1.78,290.91,144.40, 30.92
2023-06-04 04:00:00, 1.78,295.11,144.34, 31.69
2023-06-04 03:00:00, 1.78,320.81,144.33, 34.02
2023-06-04 02:00:00, 1.78,320.81,144.28, 65.85
2023-06-04 01:00:00, 1.78,320.81,144.35, 91.94
2023-06-04 00:00:00, 1.78,349.81, 20.24,247.39
2023-06-03 23:00:00, 1.78,491.11, 19.33,256.87
2023-06-03 22:00:00, 1.78,520.81,140.90,271.21
2023-06-03 21:00:00, 1.78,647.71,151.27,283.70
2023-06-03 20:00:00, 1.78,653.11,149.68,297.60
2023-06-03 19:00:00, 1.78,540.71,147.66,268.78
2023-06-03 18:00:00, 1.78,305.31,115.02,231.42
2023-06-03 17:00:00, 1.78,301.91, 98.10,108.66
2023-06-03 16:00:00, 1.78,268.11, 66.98, 90.21
2023-06-03 15:00:00, 1.78,188.71,  0.00, 75.17
2023-06-03 14:00:00, 1.78,147.51,  0.00, 16.83
2023-06-03 13:00:00, 1.78,178.61,  0.00, 10.61
2023-06-03 12:00:00, 1.78,252.11,  0.00, 56.25
2023-06-03 11:00:00, 1.78,202.11,  0.00, 54.94
2023-06-03 10:00:00, 1.78,150.81,  0.00, 83.27
2023-06-03 09:00:00, 1.78,195.41,  0.00,108.57
2023-06-03 08:00:00, 1.78,147.51,  0.00,112.49
2023-06-03 07:00:00, 1.78,259.01, 13.93, 94.32
2023-06-03 06:00:00, 1.78,216.21,147.68, 57.57
2023-06-03 05:00:00, 1.78,216.21,103.31, 76.20
2023-06-03 04:00:00, 1.78,216.21, 99.34, 72.54
2023-06-03 03:00:00, 1.78,244.61, 98.08, 81.44
2023-06-03 02:00:00, 1.78,269.41,100.12,110.88
2023-06-03 01:00:00, 1.78,302.11,135.30, 98.16
2023-06-03 00:00:00, 1.78, 24.61,  0.04, 70.27
2023-06-02 23:00:00, 1.78,  0.31,  0.00, 86.45
2023-06-02 22:00:00, 1.78,  0.31,107.31,106.98
2023-06-02 21:00:00, 1.78,113.61,144.19,106.24
2023-06-02 20:00:00, 1.78,191.61,144.00, 95.58
2023-06-02 19:00:00, 1.78,233.81,143.98, 66.55
2023-06-02 18:00:00, 1.78,164.01,143.95, 72.77
2023-06-02 17:00:00, 1.78,133.71,143.94, 63.08
2023-06-02 16:00:00, 1.78,  0.31,144.01, 65.56
2023-06-02 15:00:00, 1.78,  0.31,143.82, 59.79
2023-06-02 14:00:00, 1.78,  0.31,101.06, 34.08
2023-06-02 13:00:00, 1.78,  0.31, 97.97, 27.53
2023-06-02 12:00:00, 1.78,  0.31, 45.83, 24.38
2023-06-02 11:00:00, 1.78,  0.31,  0.00, 22.06
2023-06-02 10:00:00, 1.78,  0.31,  0.00, 35.62
2023-06-02 09:00:00, 1.78,  0.31,  0.00, 35.64
2023-06-02 08:00:00, 1.78,  0.31,  0.00, 25.85
2023-06-02 07:00:00, 1.78,  0.31,  0.00, 28.59
2023-06-02 06:00:00, 1.78,  0.31,  0.00, 30.42
2023-06-02 05:00:00, 1.78,  0.31,  0.00, 11.46
2023-06-02 04:00:00, 1.78,  0.31,  0.00,  0.01
2023-06-02 03:00:00, 1.78,  0.31,  0.00,  0.01
2023-06-02 02:00:00, 1.78,  0.31,  0.00,  0.01
2023-06-02 01:00:00, 1.78,  0.31,  0.00,  0.01
2023-06-02 00:00:00, 1.78,  0.31,  0.00,  0.01
2023-06-01 23:00:00, 1.78, 21.31, 44.81,  0.02
2023-06-01 22:00:00, 1.78,245.21,126.93,  0.02
2023-06-01 21:00:00, 1.78,248.61,149.51, 15.64
2023-06-01 20:00:00, 1.78,248.61,149.64, 39.21
2023-06-01 19:00:00, 1.78,178.61,149.72, 39.79
2023-06-01 18:00:00, 1.78,147.21,149.69, 56.84
2023-06-01 17:00:00, 1.78, 60.11,149.67,116.44
2023-06-01 16:00:00, 1.78,  0.31,138.13,108.63
2023-06-01 15:00:00, 1.78,  0.31,134.91, 95.12
2023-06-01 14:00:00, 1.78,  0.31, 99.23,109.54
