Location Names,Chorrera del Guayabo,Las Pilas,Cerron Grande,San Andres,Ahuachapan,Perquin,Acajutla,La Union,Puente Cuscatlan,Finca Los Andes,La Palma,Nueva Concepcion,Aeropuerto Ilopango,Guija,Chiltuipan,Sensuntepeque,Santa Ana,San Miguel,La Hachadura,Planes de Montecristo,Candelaria de la Frontera,Los Naranjos,Cojutepeque,Santiago de Maria,San Francisco Gotera
Location Ids,B1,G13,B10,L4,H8,Z3,T6,N2,V6,A18,G4,G3,S10,A15,L27,B6,A37,M24,H14,A31,A27,T24,C9,U6,Z2
Time,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall
2023-03-11 07:00:00, 2.6, 0.0, 0.1, 3.2, 0.0, 6.7, 0.0,-999,-999, 1.0, 0.0,13.5, 4.2, 0.0, 1.4, 0.0, 0.2, 1.5, 0.0, 0.0, 0.0, 0.2, 2.0,15.1, 0.9
2023-03-12 07:00:00, 0.0, 1.4, 0.0, 0.0, 0.0, 0.0, 0.0,-999,-999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2023-03-13 07:00:00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2023-03-14 07:00:00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2023-03-15 07:00:00, 0.0, 3.0, 0.0, 0.0, 0.0,10.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,31.8, 0.0, 0.0, 0.0, 0.1, 1.6
2023-03-16 07:00:00, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4,10.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3,17.2
2023-03-17 07:00:00, 0.2, 0.0,34.2, 0.1, 0.0, 0.0, 2.2, 0.4, 0.0, 0.2, 2.4, 2.2, 5.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0
2023-03-18 07:00:00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-999,-999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 6.0, 0.3, 1.7, 0.0, 0.0, 0.0,10.5, 0.0
