Location Names,Cojutepeque,Nueva Concepcion,Guija,La Palma,Sensuntepeque,Cerron Grande,Los Naranjos,Candelaria de la Frontera,Perquin,Finca Los Andes,Planes de Montecristo,Acajutla,Santiago de Maria,Chorrera del Guayabo,Aeropuerto Ilopango,San Miguel,Santa Ana,San Francisco Gotera,La Hachadura,Chiltuipan,San Andres,Las Pilas,Ahuachapan,La Union,Puente Cuscatlan
Location Ids,C9,G3,A15,G4,B6,B10,T24,A27,Z3,A18,A31,T6,U6,B1,S10,M24,A37,Z2,H14,L27,L4,G13,H8,N2,V6
Time,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax
2023-03-11 07:00:00,27.6,37.4,38.7,31.9,32.6,38.5,25.6,33.6,26.0,22.4,22.6,32.8,26.2,38.0,29.4,35.0,33.4,34.0,33.4,28.8,34.5,23.4,30.0,-999,-999
2023-03-12 07:00:00,28.9,35.0,38.5,31.4,32.8,38.1,25.4,32.0,28.7,22.4,21.2,32.6,26.8,37.4,30.0,35.6,31.6,34.8,34.4,29.8,34.5,22.3,32.0,-999,-999
2023-03-13 07:00:00,29.1,35.6,38.4,31.8,31.4,37.4,25.8,31.0,29.0,23.4,23.3,34.2,27.4,37.2,30.4,35.6,32.6,36.2,35.4,31.8,34.0,23.4,32.8,34.4,-999
2023-03-14 07:00:00,28.5,36.0,38.3,31.8,34.4,38.2,25.2,34.4,30.1,23.4,22.4,33.4,27.8,37.4,30.4,35.4,32.4,37.4,35.6,31.5,35.6,22.3,31.0,33.6,-999
2023-03-15 07:00:00,29.4,37.2,40.0,33.1,32.4,39.5,25.0,36.2,31.0,24.4,23.8,33.8,27.9,37.8,31.2,37.3,34.0,38.0,34.8,32.0,36.0,24.5,30.0,34.4,-999
2023-03-16 07:00:00,32.1,37.0,38.0,29.9,33.0,40.3,25.2,34.8,29.9,23.6,21.8,34.0,29.9,38.4,32.9,38.6,35.2,37.6,35.4,32.0,36.5,23.3,31.0,34.0,-999
2023-03-17 07:00:00,31.4,36.8,39.3,31.6,31.0,39.5,26.0,35.2,27.4,23.4,22.6,33.0,28.3,38.6,32.4,36.5,34.3,38.0,35.4,32.3,36.5,23.4,30.0,33.6,-999
2023-03-18 07:00:00,27.6,34.8,36.7,30.3,32.0,36.6,25.4,34.2,28.5,23.4,22.5,33.8,26.0,37.2,29.8,33.9,32.0,37.8,35.6,30.9,34.2,24.5,31.0,-999,-999
