Location Names,Cojutepeque,Nueva Concepcion,Guija,La Palma,Sensuntepeque,Cerron Grande,Los Naranjos,Candelaria de la Frontera,Perquin,Finca Los Andes,Planes de Montecristo,Acajutla,Santiago de Maria,Chorrera del Guayabo,Aeropuerto Ilopango,San Miguel,Santa Ana,San Francisco Gotera,La Hachadura,Chiltuipan,San Andres,Las Pilas,Ahuachapan,La Union,Puente Cuscatlan
Location Ids,C9,G3,A15,G4,B6,B10,T24,A27,Z3,A18,A31,T6,U6,B1,S10,M24,A37,Z2,H14,L27,L4,G13,H8,N2,V6
Time,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin,TempMin
2023-03-11 07:00:00,18.8,20.8,20.6,14.0,19.0,20.6,11.2,18.4,16.9,11.6,10.8,24.8,18.0,21.6,18.9,22.4,18.0,20.2,24.6,20.2,19.5, 9.4,20.6,-999,-999
2023-03-12 07:00:00,19.4,22.4,21.5,19.3,19.6,23.0, 9.4,16.8,17.5,11.2,14.2,24.6,17.7,23.8,20.2,22.0,18.6,22.2,19.2,20.9,17.6,13.4,20.4,-999,-999
2023-03-13 07:00:00,19.2,20.8,22.2,15.2,17.0,20.3, 8.6,18.8,16.8,11.7,13.6,23.0,17.0,21.6,18.8,21.6,18.0,23.0,20.6,20.7,16.4,10.0,17.8,23.2,-999
2023-03-14 07:00:00,19.3,21.6,21.5,16.7,18.0,20.8, 9.2,18.0,17.2,12.1,13.6,24.4,18.0,22.4,19.2,21.5,18.0,22.8,20.4,20.7,16.3,12.2,17.5,22.0,-999
2023-03-15 07:00:00,19.8,21.8,21.5,16.7,18.2,20.0,11.2,19.0,17.0,12.7,13.4,24.4,18.4,21.8,20.1,22.2,18.8,20.2,20.6,21.1,17.4,12.2,18.4,25.3,-999
2023-03-16 07:00:00,19.1,21.6,21.4,16.0,17.2,21.2,15.0,19.8,16.5,12.9,13.5,24.6,18.8,21.4,20.4,21.7,18.6,20.4,24.4,21.1,18.2,13.4,18.7,21.6,-999
2023-03-17 07:00:00,20.6,22.6,23.0,17.3,19.0,22.3,13.4,20.6,17.9,13.6,13.6,24.8,18.5,23.2,21.8,23.3,21.6,21.8,24.6,21.3,20.6,11.2,19.7,23.6,-999
2023-03-18 07:00:00,19.9,21.6,20.9,16.5,18.4,21.7, 9.4,18.4,17.5,12.8,12.4,24.8,17.7,22.6,20.4,21.4,19.2,22.2,21.2,21.5,17.2,11.2,18.5,-999,-999
2023-03-19 07:00:00,19.4,20.4,20.5,15.3,18.0,20.7,10.2,18.4,17.0,13.0,12.5,23.8,18.4,21.0,20.2,22.2,18.8,21.2,-999,21.1,17.8,12.2,19.0,-999,-999
2023-03-20 07:00:00,20.2,23.6,23.2,18.3,18.6,21.6,16.0,21.6,17.9,13.1,13.2,25.8,19.2,24.0,21.2,21.5,20.7,21.0,15.4,21.7,18.2,13.4,19.0,25.4,-999
2023-03-21 07:00:00,19.1,21.6,23.0,18.5,17.4,20.8,15.2,21.0,17.6,12.7,13.9,25.6,18.8,23.0,20.6,22.9,20.0,21.2,21.8,21.4,17.2,14.4,20.0,24.2,-999
2023-03-22 07:00:00,20.1,23.2,23.0,18.5,19.4,23.1,15.4,21.6,17.8,12.6,14.5,25.8,20.2,23.6,21.8,22.8,20.6,20.6,23.2,22.7,19.6,13.4,19.0,26.8,-999
2023-03-23 07:00:00,20.3,21.4,21.7,16.3,18.4,21.4,13.2,21.6,17.0,12.7,12.8,25.2,20.2,23.2,20.6,21.9,21.2,21.4,18.0,21.8,17.4,11.2,18.8,24.4,-999
2023-03-24 07:00:00,19.9,21.2,20.6,13.9,18.0,20.8,11.2,20.0,16.9,11.8,11.9,25.2,18.2,22.0,20.1,21.0,19.1,21.8,21.6,21.4,17.2, 9.5,18.5,24.0,-999
2023-03-25 07:00:00,20.1,22.8,22.0,16.9,17.0,21.6,10.4,19.0,16.9,12.6,14.2,25.6,18.5,22.0,20.8,21.5,20.4,21.6,21.8,21.9,17.6,12.2,19.0,-999,-999
2023-03-26 07:00:00,19.4,20.4,21.0,14.4,17.6,20.5, 9.4,17.8,17.0,12.4,12.4,24.0,19.4,21.6,19.8,20.7,19.8,23.2,21.6,21.1,16.8,11.2,17.8,-999,-999
2023-03-27 07:00:00,20.8,22.2,22.6,16.1,18.0,21.2,10.8,18.8,16.9,12.7,13.2,24.0,18.0,21.0,21.2,-999,21.8,23.0,21.0,22.2,19.0,11.2,19.6,25.3,-999
2023-03-28 07:00:00,21.1,22.6,22.9,16.7,17.6,20.9, 9.2,19.4,17.3,12.7,12.0,25.2,19.1,22.4,20.2,21.0,20.0,22.0,21.8,22.9,16.4,10.0,18.5,23.0,-999
2023-03-29 07:00:00,19.7,22.2,22.8,18.0,18.4,22.0,15.0,20.2,17.7,12.7,12.2,26.4,19.0,22.6,21.4,22.6,21.0,22.4,21.8,22.3,19.6,-999,19.8,23.6,-999
2023-03-30 07:00:00,18.8,19.6,21.3,16.3,16.4,20.0,14.4,20.8,16.4,10.9,11.8,25.8,18.7,21.6,19.8,22.7,19.8,22.8,17.4,21.6,16.0,11.2,19.4,22.4,-999
2023-03-31 07:00:00,20.1,21.6,22.5,16.5,17.0,20.9,16.0,21.8,16.5,12.0,12.2,26.0,19.5,22.0,20.1,20.9,24.4,19.8,23.0,21.7,18.6,12.2,19.8,-999,-999
2023-04-01 07:00:00,19.6,21.2,21.9,14.6,16.0,19.3,10.2,20.2,16.4,11.6,11.4,24.6,19.6,20.6,19.8,20.0,19.6,19.2,24.0,21.8,15.0,10.0,18.8,-999,-999
2023-04-02 07:00:00,19.2,20.8,21.9,15.4,16.8,19.8,11.2,21.4,17.0,11.4,11.2,25.2,18.5,20.8,20.8,21.1,19.6,20.4,17.0,21.6,20.6, 9.5,18.6,-999,-999
2023-04-03 07:00:00,20.1,21.6,21.6,14.7,16.4,20.5,12.6,20.6,16.6,10.6,11.8,25.4,20.2,20.6,20.9,-999,19.4,20.2,-999,22.5,16.8, 8.4,19.2,-999,-999
2023-04-04 07:00:00,20.7,20.4,21.0,14.4,17.0,19.4, 8.2,18.8,17.1,12.3,12.4,25.0,18.5,20.4,19.8,20.3,17.8,20.0,19.4,22.5,15.6, 9.5,18.8,22.6,-999
2023-04-05 07:00:00,20.2,22.2,22.4,15.7,18.2,21.2, 8.6,19.0,17.6,12.5,12.4,25.0,18.4,22.0,20.3,20.0,19.0,21.8,21.8,21.7,17.6,10.0,19.6,22.4,-999
2023-04-06 07:00:00,20.8,21.8,23.0,14.6,18.0,20.0, 9.2,19.6,17.6,13.3,12.2,25.6,18.6,21.4,19.8,20.1,19.7,21.2,18.2,22.4,17.0,10.0,19.7,23.2,-999
2023-04-07 07:00:00,20.9,22.6,21.6,16.7,19.6,22.2,13.6,20.0,17.1,11.9,12.6,25.6,19.1,22.8,22.2,21.2,19.2,21.8,22.6,22.8,19.0,11.2,18.2,24.0,-999
2023-04-08 07:00:00,19.5,22.0,21.0,15.3,18.0,21.7,12.6,20.4,16.6,11.1,10.6,26.2,17.6,22.4,20.6,21.5,19.6,22.2,-999,21.5,17.6, 8.4,18.5,-999,-999
2023-04-09 07:00:00,19.3,21.2,21.6,17.3,18.6,21.6,15.0,21.6,17.3,11.7,12.9,26.0,19.5,24.6,21.0,24.2,19.6,23.6,-999,21.9,18.8,12.2,19.1,-999,-999
2023-04-10 07:00:00,19.7,19.2,21.0,16.8,16.4,19.8,14.6,21.8,17.5,12.0,12.2,25.2,19.2,22.0,19.2,24.3,20.2,22.6,17.2,21.8,16.6,12.2,19.0,-999,-999
2023-04-11 07:00:00,20.4,18.6,20.0,16.0,16.2,18.4,13.4,22.4,18.0,11.2,13.2,25.2,19.3,22.4,19.2,23.1,20.0,22.4,23.2,21.9,14.4,12.2,19.8,24.2,-999
2023-04-12 07:00:00,20.6,19.4,19.0,13.3,18.2,20.5,14.0,21.6,17.6,12.4,12.0,25.6,19.6,22.0,19.2,23.1,19.3,22.6,22.0,21.3,16.4,11.2,19.8,25.0,-999
2023-04-13 07:00:00,20.8,22.2,22.6,16.1,18.0,22.2,13.8,22.0,18.3,12.8,13.4,27.0,19.8,22.6,22.4,23.3,21.0,22.2,21.4,22.4,19.3,11.2,21.0,24.8,-999
2023-04-14 07:00:00,21.7,23.6,23.0,16.8,20.0,24.1,12.6,20.4,18.9,13.7,13.9,26.8,19.9,25.2,22.0,22.1,20.4,23.6,20.0,23.0,19.8,12.2,21.0,24.4,-999
2023-04-15 07:00:00,21.5,26.0,26.2,20.7,20.8,25.5,14.6,22.0,19.5,14.0,15.4,26.4,20.3,26.4,22.0,24.0,22.0,23.8,20.2,23.4,21.6,13.4,21.0,-999,-999
2023-04-16 07:00:00,21.9,25.8,25.5,19.5,22.0,25.3,14.2,21.6,20.3,14.6,15.2,26.6,20.8,25.6,22.8,24.7,22.7,23.6,-999,23.6,21.0,13.4,21.0,-999,-999
2023-04-17 07:00:00,20.2,21.4,22.4,20.8,20.2,23.5,14.4,20.4,19.4,16.0,14.4,26.8,21.2,23.6,19.6,25.0,20.9,25.2,-999,20.4,19.2,15.0,20.8,-999,-999
2023-04-18 07:00:00,19.9,22.4,22.4,16.2,18.0,21.0,15.0,21.8,17.6,11.6,12.6,26.6,19.6,22.0,20.5,23.6,20.4,23.0,-999,21.7,18.2,10.0,19.8,25.4,-999
2023-04-19 07:00:00,21.1,23.2,23.4,16.2,21.0,23.7,14.4,21.8,18.0,11.5,12.6,26.2,20.4,24.2,20.7,25.4,20.4,24.2,-999,22.3,19.3,11.2,20.2,25.2,-999
2023-04-20 07:00:00,19.8,22.2,22.4,18.0,18.6,21.8,14.2,20.2,18.4,13.9,14.1,25.6,19.7,22.6,20.8,23.4,20.0,23.6,-999,21.3,19.8,12.2,20.4,25.0,-999
2023-04-21 07:00:00,21.6,23.2,22.9,17.1,21.6,24.2,11.4,20.8,18.4,13.5,14.0,26.8,20.1,24.0,22.0,23.3,21.0,24.2,22.2,22.2,20.7,11.2,20.0,25.2,-999
2023-04-22 07:00:00,21.0,23.0,23.4,17.3,20.2,23.4,10.2,20.0,18.8,14.3,13.3,25.8,20.0,23.4,22.0,23.4,19.6,23.8,19.0,22.4,19.4,11.2,20.4,-999,-999
2023-04-23 07:00:00,21.7,22.8,23.5,18.5,21.2,24.0,14.2,22.6,19.4,13.9,12.9,24.0,21.6,24.6,22.8,26.1,22.0,24.4,22.2,20.1,20.2,11.2,21.0,-999,-999
2023-04-24 07:00:00,20.8,24.4,23.0,20.1,20.8,24.6,13.6,21.4,19.0,14.0,14.4,26.0,20.5,23.2,22.7,26.1,20.8,24.2,-999,22.2,21.2,12.2,20.6,25.6,-999
2023-04-25 07:00:00,20.6,21.8,21.0,16.7,19.0,22.8,11.2,20.0,18.4,14.3,12.9,25.6,19.3,23.0,20.1,24.0,19.4,21.4,-999,22.2,19.0,11.2,20.0,24.0,-999
2023-04-26 07:00:00,20.9,23.2,23.6,19.9,21.0,22.5,13.8,22.4,19.4,15.1,16.0,25.6,20.4,22.6,22.8,25.1,22.0,24.2,23.0,22.5,21.3,14.4,20.5,25.0,-999
2023-04-27 07:00:00,21.6,24.2,24.4,19.8,21.6,24.0,12.6,21.6,19.5,14.2,14.9,25.0,20.4,24.0,22.9,25.7,22.0,25.2,19.6,22.7,20.4,13.3,19.7,22.0,-999
2023-04-28 07:00:00,21.0,22.4,22.5,17.6,19.8,23.2,10.2,20.2,18.4,13.7,14.4,25.6,19.1,23.4,21.6,22.2,22.0,22.8,21.2,22.2,18.8,12.2,20.0,23.2,-999
2023-04-29 07:00:00,20.9,24.2,23.9,20.4,20.0,20.4,12.0,20.4,18.0,14.3,15.5,26.0,18.4,24.2,22.0,23.5,21.0,23.0,-999,22.4,20.4,14.4,20.0,-999,-999
2023-04-30 07:00:00,20.8,23.2,23.0,19.5,20.4,23.5,13.8,22.4,18.0,14.2,14.4,25.8,19.8,23.2,21.7,24.7,21.8,24.8,20.6,22.2,21.5,14.5,19.8,-999,-999
2023-05-01 07:00:00,21.6,24.0,24.5,19.1,21.0,24.3,15.2,23.4,19.3,14.2,14.4,25.2,21.0,24.4,22.8,24.6,22.6,24.2,-999,23.5,21.8,13.4,20.5,-999,-999
2023-05-02 07:00:00,21.9,23.4,23.9,17.9,19.5,24.2,13.4,21.4,20.0,14.7,14.6,26.0,21.4,23.6,22.8,25.4,21.8,24.4,23.0,24.0,21.2,14.4,20.6,24.2,-999
