Location Names,San Marcos Lempa,Cojutepeque,Atalaya,El Piro,Santiago de María,Sensunapan,Las Flores,Izalco,Nueva Esparta,Zaragoza,Sesori,El Imposible,Pte Cuscatlan,La Palma,Can La Frontera,Tamarindo,Hacienda Melara,Jucuaran,Tepetitan,Concepción Quezaltepeque,Berlin Met,San Francisco,Ciudad Barrios,El Camalote,El Jocote,Coatepeque,Volcan San Miguel 2,VSM_La Piedra 1,Dulce Nombre de María,Paso del Oso,AgrC Chalatenango,El Sauce,-999,El Zapotillo,El Jobo,Hachadura,CitalaR,Nuevo Cuscatlan,San Simon,El Naranjo,Chilama,Metayate,San Lorenzo,Zacatecoluca,Jalponga,Zoologico,Apaneca Met,La Bermeja,ENA-SanAndrés,Providencia1,Belloso,La Union,San Miguel,Santa Ana,Boqueron,PROCAFÉ,Acajutla,Concepción de Oriente,San Vicente,Ilopango,Las Pilas,El Pacayal,Tecoluca,Vado Marin,Santa Beatriz,Volcan San Miguel,Metapan,Jerusalem,Tepezontes,Ishuatan,Los Naranjos,Montecristo,UES,Picacho,Guacotecti,Puerto Parada,Moropala,Apaneca,Panchimalco,Comasagua,Ilobasco,Chirilagua,Berlin,Conchagua,Melara,San Isidro,Laquesera,Osicala,San Vicente,Pasaquina,La Canoa,La Cañada,Santa Cruz Porrillo,Perquin,Apopa
Location Ids,10,103,104,106,107,108,11,111,112,114,115,116,117,118,119,12,120,121,122,123,124,125,127,128,129,131,133,134,138,143,149,17,19,2,20,21,250,252,253,255,256,257,258,26,263,264,265,267,270,271,28,31,32,33,35,36,37,38,39,4,40,42,43,44,47,48,49,50,51,54,58,59,61,62,64,65,66,72,75,76,78,82,84,85,86,88,89,9,90,91,92,94,95,96,97
Time,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall,Rainfall
2023-04-23 07:00:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,30,98,27.4,49.6,82.6,136,54.8,32.4,178,28.8,1645.6,0,206,51.4,24.4,66.6,0,99,32.2,60.4,4.4,66.8,56,62.6,16.2,68.8,20,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,37.4,129,38.4,22.4,79.8,7.8,32,23.4,68.2,45.6,10.6,30.4,12,33.8,24.8,3.8,38.6,1985.2,14.2,500.4,40.6,11,155,178,14,43.2,109.6,3124.6,15,8.6,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,40.2,7.8,45.4,59.4
2023-04-23 07:05:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,-999,-999,-999,-999,82.6,-999,-999,-999,-999,-999,1645.6,-999,206,51.4,24.4,-999,-999,-999,32.2,-999,4.4,66.8,56,62.6,16.2,68.8,20,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,-999,129,-999,-999,79.8,-999,-999,-999,-999,-999,-999,30.4,-999,-999,-999,-999,38.6,1985.2,14.2,500.4,40.6,11,155,-999,14,43.2,-999,3124.6,-999,-999,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,-999,-999,-999,59.4
2023-04-23 07:10:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,30,98,27.4,49.6,82.6,136,54.8,32.4,178,28.8,1645.6,0,206,51.4,24.4,66.6,0,99,32.2,60.4,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,37.4,129,38.4,22.4,79.8,7.8,32,23.4,68.2,45.6,10.6,30.4,12,33.8,24.8,3.8,38.6,1985.2,14.2,500.4,40.6,11,155,178,14,43.2,109.6,3124.6,15,8.6,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,40.2,7.8,45.4,59.4
2023-04-23 07:15:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,-999,-999,-999,-999,82.6,-999,-999,-999,-999,-999,1645.6,-999,206,51.4,24.4,-999,-999,-999,32.2,-999,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,-999,129,-999,-999,79.8,-999,-999,-999,-999,-999,-999,30.4,-999,-999,-999,-999,38.6,1985.2,14.2,500.4,40.6,11,155,-999,14,43.2,-999,3124.6,-999,-999,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,-999,-999,-999,59.4
2023-04-23 07:20:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,30,98,27.4,49.6,82.6,136,54.8,32.4,178,28.8,1645.6,0,206,51.4,24.4,66.6,0,99,32.2,60.4,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,-999,129,38.4,22.4,79.8,7.8,32,23.4,68.2,45.6,10.6,30.4,12,33.8,24.8,3.8,38.6,1985.2,14.2,500.4,40.6,11,155,178,14,43.2,109.6,3124.6,15,8.6,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,40.2,7.8,45.4,59.4
2023-04-23 07:25:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,-999,-999,-999,-999,82.6,-999,-999,-999,-999,-999,1645.6,-999,206,51.4,24.4,-999,-999,-999,32.2,-999,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,-999,129,-999,-999,79.8,-999,-999,-999,-999,-999,-999,30.4,-999,-999,-999,-999,38.6,1985.2,14.2,500.4,40.6,11,155,-999,14,43.2,-999,3124.6,-999,-999,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,-999,-999,-999,59.4
2023-04-23 07:30:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,30,98,27.4,49.6,82.6,136,54.8,32.4,178,28.8,1645.6,0,206,51.4,24.4,66.6,0,99,32.2,60.4,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,37.4,129,38.4,22.4,79.8,7.8,32,23.4,68.2,45.6,10.6,30.4,12,33.8,24.8,3.8,38.6,1985.2,14.2,500.4,40.6,11,155,178,14,43.2,109.6,3124.6,15,8.6,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,40.2,7.8,45.4,59.4
2023-04-23 07:35:00,36.4,27,17,122.2,27.4,26.6,2577.6,38.2,109.4,44.4,19.8,-999,-999,-999,-999,82.6,-999,-999,-999,-999,-999,1645.6,-999,206,51.4,24.4,-999,-999,-999,32.2,-999,4.4,66.8,56,62.6,16.2,68.8,-999,1428,38.4,52.8,39.6,26.6,1441,8.2,132.8,-999,129,-999,-999,79.8,-999,-999,-999,-999,-999,-999,30.4,-999,-999,-999,-999,38.6,1985.2,14.2,500.4,40.6,11,155,-999,14,43.2,-999,3124.6,-999,-999,41.2,27.4,3.2,66.6,20.2,11.4,21.8,15.6,93.6,12.6,23,115,9.4,8,1828.8,-999,-999,-999,59.4
