Location Names,San Marcos Lempa,Atalaya,El Piro,Sensunapan,Las Flores,Tamarindo,San Francisco,El Jocote,Paso del Oso,El Sauce,El Zapotillo,El Jobo,Hachadura,CitalaR,San Simon,El Naranjo,Chilama,Metayate,San Lorenzo,Banderas,Jalponga,Zoologico,La Bermeja,Belloso,Concepción de Oriente,Montecristo,Moropala,Melara,San Isidro,Laquesera,Osicala,San Vicente,Pasaquina
Location Ids,10,104,106,108,11,12,125,129,143,17,2,20,21,250,253,255,256,257,258,260,263,264,267,28,38,59,66,86,88,89,9,90,91
Time,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level
2023-04-23 07:00:00,1.03,0.9,0.08,1.3,1.63,3.14,1.76,1.08,2.35,1.18,0.76,1.55,1.8,-999,0.27,1.76,0.94,0.81,1.28,0.91,2.2,0.99,0,0.18,1.24,0.35,1.11,0.1,1.63,0.42,0.36,1.06,2.23
2023-04-23 07:05:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:10:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:15:00,1.03,0.9,0.08,1.3,1.65,3.15,1.76,1.09,2.32,1.18,0.72,1.56,1.8,-999,0.27,1.76,0.94,0.81,1.27,0.91,2.2,0.99,0.01,0.18,1.25,0.35,1.11,0.1,1.63,0.43,0.36,1.06,2.23
2023-04-23 07:20:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:25:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:30:00,1.03,0.9,0.08,1.3,1.62,3.16,1.76,1.09,2.26,1.18,0.7,1.56,1.8,-999,0.27,1.76,0.94,0.81,1.28,0.9,2.2,0.99,0,0.18,1.25,0.35,1.11,0.1,1.63,0.43,0.36,1.06,2.23
2023-04-23 07:35:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:40:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:45:00,1.03,0.91,0.08,1.3,1.63,3.16,1.76,1.09,2.22,1.18,0.67,1.56,1.8,-999,0.27,1.76,0.94,0.81,1.27,0.9,2.21,0.99,0,0.18,1.24,0.34,1.11,0.1,1.63,0.42,0.36,1.06,2.23
2023-04-23 07:50:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 07:55:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 08:00:00,1.03,0.91,0.08,1.3,1.63,3.16,1.76,1.09,2.17,1.18,0.65,1.56,1.8,-999,0.27,1.76,0.94,0.81,1.27,0.89,2.21,0.99,0,0.18,1.25,0.35,1.11,0.09,1.63,0.43,0.36,1.05,2.23
2023-04-23 08:05:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-04-23 08:10:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999
