Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,CONCEPCION QUEZALTEPEQUE,LAS PILAS,NUEVA CONCEPCION,LA PALMA,PROCAFE,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G12,G13,G3,G4,L48,L4
Time,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion
2012-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-02 07:00:00,0,0,0.4,3,0.1,0,1.5,0,0,0,0
2012-01-03 07:00:00,0,0,0,6.8,0,0,6.5,0,0,0,0
2012-01-04 07:00:00,0,0,0,2.7,0,0,0.9,0,0,0,0
2012-01-05 07:00:00,0,0,0,0.1,0,0,0,0,0,0,0
2012-01-06 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-07 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-08 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-09 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-10 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-11 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-12 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-13 07:00:00,0,0,0,0,0,0,0,0,0,0,2.7
2012-01-14 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-15 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-16 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-17 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-18 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-19 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-20 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-21 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-22 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-23 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-24 07:00:00,0.3,4.4,0,0,5.5,0,0,0,0,0.3,12.5
2012-01-25 07:00:00,0,0.3,0.3,0,0,0,0,0,0,0,0
2012-01-26 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-27 07:00:00,0,0,0,1,0,0,1.7,0,0,0,0
2012-01-28 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-29 07:00:00,0,0,0,1.1,0,0,0.3,0,0,0,0
2012-01-30 07:00:00,0,0,0,2.7,0,0,0,0,0,0,0
2012-01-31 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-02 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-03 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-04 07:00:00,0,0,0,0,0,0,0.5,0,0,0,0
2012-02-05 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-06 07:00:00,0,0,0,0.3,0,0,0,0,0,0,0
2012-02-07 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2012-02-08 07:00:00,0,0,0,0,0,0,0,1,0,0,0
2012-02-09 07:00:00,0,0.2,0,0,0,0,0,0,0,0,0
2012-02-10 07:00:00,0,0,0,0,0,0,0,0,0,0,0
