N_Oficial;Nombre_estacion;Institucion;latitude;longitude;Tipo_estacion;Parametros_medidos;Resolucion_temporal
H14;LA HACHADURA;MARN;13.859;-90.090;CONVENCIONAL;P;Diaria
H8;AHUACHAPAN SM;MARN;13.942;-89.860;CONVENCIONAL;P;Diaria
B1;CH. DEL GUAYABO;MARN;13.986;-88.755;CONVENCIONAL;P;Diaria
B10;CERRON GRANDE;MARN;13.936;-88.913;CONVENCIONAL;P;Diaria
B6;SENSUNTEPEQUE;MARN;13.869;-88.647;CONVENCIONAL;P;Diaria
G12;CONCEPCION QUEZALTEPEQUE;MARN;14.080;-88.968;CONVENCIONAL;P;Diaria
G13;LAS PILAS;MARN;14.372;-89.088;CONVENCIONAL;P;Diaria
G3;NUEVA CONCEPCION;MARN;14.124;-89.290;CONVENCIONAL;P;Diaria
G4;LA PALMA;MARN;14.291;-89.162;CONVENCIONAL;P;Diaria
C9;COJUTEPEQUE SM;MARN;13.719;-88.927;CONVENCIONAL;P;Diaria
G100;MANANTIALES GEO;MARN;13.611;-89.294;CONVENCIONAL;P;Diaria
L27;CHILTIUPAN;MARN;13.596;-89.470;CONVENCIONAL;P;Diaria
L4;SAN ANDRES;MARN;13.807;-89.407;CONVENCIONAL;P;Diaria
L48;PROCAFE;MARN;13.686;-89.288;CONVENCIONAL;P;Diaria
P16;A. EL SALVADOR;MARN;13.439;-89.055;CONVENCIONAL;P;Diaria
P18;LOS NOVILLOS;MARN;13.433;-89.008;CONVENCIONAL;P;Diaria
N2;LA UNION/CPI;MARN;13.332;-87.827;CONVENCIONAL;P;Diaria
N24;VOLCAN CONCHAGUA;MARN;13.275;-87.834;CONVENCIONAL;P;Diaria
N6;SANTA ROSA DE LIMA;MARN;13.626;-87.883;CONVENCIONAL;P;Diaria
Z2;SAN FCO. GOTERA;MARN;13.696;-88.107;CONVENCIONAL;P;Diaria
Z3;PERQUIN;MARN;13.957;-88.162;CONVENCIONAL;P;Diaria
Z9;VILLA EL ROSARIO;MARN;13.864;-88.212;CONVENCIONAL;P;Diaria
M24;SAN MIGUEL UES;MARN;13.438;-88.158;CONVENCIONAL;P;Diaria
M4;LOLOTIQUE;MARN;13.556;-88.353;CONVENCIONAL;P;Diaria
S10;A. ILOPANGO;MARN;13.697;-89.118;CONVENCIONAL;P;Diaria
S30;SNET-MARN;MARN;13.687;-89.232;CONVENCIONAL;P;Diaria
A15;GUIJA;MARN;14.227;-89.470;CONVENCIONAL;P;Diaria
A18;FINCA LOS ANDES;MARN;13.872;-89.628;CONVENCIONAL;P;Diaria
A27;CANDELARIA DE LA FRONTERA;MARN;14.119;-89.652;CONVENCIONAL;P;Diaria
A31;PLANES DE MONTECRISTO;MARN;14.397;-89.360;CONVENCIONAL;P;Diaria
A37;SANTA ANA-UNICAES;MARN;13.981;-89.548;CONVENCIONAL;P;Diaria
V6;SANTA CRUZ PORRILLO;MARN;13.439;-88.803;CONVENCIONAL;P;Diaria
V9;PUENTE CUSCATLAN;MARN;13.601;-88.593;CONVENCIONAL;P;Diaria
G101;JUAYUA-GEO;MARN;13.841;-89.748;CONVENCIONAL;P;Diaria
T24;LOS NARANJOS;MARN;13.874;-89.675;CONVENCIONAL;P;Diaria
T6;"ACAJUTLA; PTO NUEVO";MARN;13.572;-89.833;CONVENCIONAL;P;Diaria
U11;BENEFICIO LA CARRERA;MARN;13.329;-88.525;CONVENCIONAL;P;Diaria
U14;PUERTO PARADA;MARN;13.253;-88.443;CONVENCIONAL;P;Diaria
U6;SANTIAGO DE MARIA;MARN;13.484;-88.472;CONVENCIONAL;P;Diaria
37;Acajutla;MARN;13.5678;-89.8333;MET;PT;10 min
254;Acomunca;MARN;13.4446;-88.8831;HIDRO;PHQ;5 min y 15 min
149;AgrC Chalatenango;MARN;14.0422;-88.9694;MET;PT;10 min
72;Apaneca;MARN;13.8412;-89.798;PLUVIO;P;5 min
265;Apaneca Met;MARN;13.8479;-89.8389;MET;PT;10 min
97;Apopa;MARN;13.7956;-89.1742;PLUVIO;P;5 min
53;Ataco;MARN;13.834;-89.903;PLUVIO;P;5 min
104;Atalaya;MARN;13.6082;-89.8304;HIDRO;PHQ;5 min y 15 min
260;Banderas;MARN;13.588;-89.735;HIDRO;PHQ;5 min y 15 min
28;Belloso;MARN;13.6931;-89.191;HIDRO;PHQ;5 min
84;Berlin;MARN;13.4831;-88.5199;PLUVIO;P;5 min
124;Berlin Met;MARN;13.5072;-88.5064;MET;PT;10 min
35;Boqueron;MARN;13.7339;-89.2675;MET;PT;10 min
119;Candelaria La Frontera;MARN;14.119;-89.656;MET;PT;10 min
259;Cara Sucia;MARN;13.7739;-90.0445;HIDRO;PHQ;5 min y 15 min
8;Chapeltique;MARN;13.6424;-88.2608;PLUVIO;P;15 min
256;Chilama;MARN;13.4919;-89.3254;HIDRO;PHQ;5 min y 15 min
82;Chirilagua;MARN;13.2556;-88.1966;PLUVIO;P;5 min
250;CitalaR;MARN;14.3703;-89.2126;HIDRO;PHQ;5 min y 15 min
249;Ciudad Arce;MARN;13.83;-89.4373;PLUVIO;P;5 min
127;Ciudad Barrios;MARN;13.725;-88.273;MET;PT;10 min
131;Coatepeque;MARN;13.8676;-89.5121;PLUVIO;P;5 min
103;Cojutepeque;MARN;13.7206;-88.9263;PLUVIO;P;5 min
76;Comasagua;MARN;13.6354;-89.3486;PLUVIO;P;5 min
38;Concepcion de Oriente;MARN;13.797;-87.7101;HIDRO;PHQ;5 min y 15 min
123;Concepcion Quezaltepeque;MARN;14.0808;-88.9679;MET;PT;10 min
85;Conchagua;MARN;13.2763;-87.8339;PLUVIO;P;5 min
138;Dulce Nombre de Maria;MARN;14.1997;-89.0107;MET;PT;10 min
128;El Camalote;MARN;14.1675;-88.9235;PLUVIO;P;5 min
262;El Desparramo;MARN;13.29;-88.5404;HIDRO;PHQ;5 min y 15 min
116;El Imposible;MARN;13.827;-89.947;MET;PT;10 min
20;El Jobo;MARN;14.0175;-89.907;HIDRO;PHQ;5 min y 15 min
129;El Jocote;MARN;13.9129;-89.2762;HIDRO;PHQ;5 min y 15 min
255;El Naranjo;MARN;13.697;-89.938;HIDRO;PHQ;5 min y 15 min
42;El Pacayal;MARN;13.469;-88.3233;MET;PT;10 min
106;El Piro;MARN;13.6815;-89.2436;HIDRO;PHQ;5 min y 15 min
17;El Sauce;MARN;13.6496;-87.7898;HIDRO;PHQ;5 min y 15 min
