Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,CONCEPCION QUEZALTEPEQUE,LAS PILAS,NUEVA CONCEPCION,LA PALMA,PROCAFE,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G12,G13,G3,G4,L48,L4
Time,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion
1980-01-01 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-02 07:00:00,0,-999,-999,0.4,0,0,0,0,0,0,0
1980-01-03 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-04 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-05 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-06 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-07 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-08 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-09 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-10 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-11 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-12 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-13 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-14 07:00:00,0,-999,-999,0,0,0.3,0,0,0,0,0
1980-01-15 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-16 07:00:00,21.7,-999,-999,3.3,1.4,1.4,0,38.7,31.4,0,1.5
1980-01-17 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-18 07:00:00,0,-999,-999,0,0,0,0,0,0,29,0
1980-01-19 07:00:00,43.7,-999,-999,47.3,3,9.1,16.7,3.4,88.5,8,9.6
1980-01-20 07:00:00,4.6,-999,-999,5,7.3,9.8,6.8,6,2.9,13,20
1980-01-21 07:00:00,0,-999,-999,0,0,0,0,0.3,0.5,0,0
1980-01-22 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-23 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-24 07:00:00,0,-999,-999,0,0,0,0.2,0,0,0,0
1980-01-25 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-26 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-27 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-28 07:00:00,0,-999,-999,0,0,0,0,0,4.5,0,0
1980-01-29 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-30 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-01-31 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-02-01 07:00:00,0,-999,-999,1.8,0,0,2.5,0,0,0,0
1980-02-02 07:00:00,0,-999,-999,0.3,0,0,0,0,0,0,0
1980-02-03 07:00:00,0,-999,-999,0.8,0,0,0,0,0,0,0
1980-02-04 07:00:00,0,-999,-999,0.7,0,0,0,0,0,0,0
1980-02-05 07:00:00,0,-999,-999,0.3,0,0,0,0,0,0,0
1980-02-06 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
1980-02-07 07:00:00,0,-999,-999,0,0,0,0,0,0,0,0
